iter	RMSE
0	80.03524883
1	75.52386523
2	71.24087543
3	67.23804574
4	63.60754669
5	60.19223533
6	56.96891961
7	54.01845522
8	51.23281597
9	48.65116969
10	46.32774928
11	44.11910053
12	42.11338539
13	40.25303529
14	38.53991985
15	36.96009966
16	35.49788859
17	34.19390828
18	32.97153899
19	31.894274
20	30.87238437
21	29.97630976
22	29.14083739
23	28.39248562
24	27.69482722
25	27.06353605
26	26.49819705
27	25.98397969
28	25.52662046
29	25.1179451
30	24.77492636
31	24.43682765
32	24.13886448
33	23.8597421
34	23.6001326
35	23.38326436
36	23.17531523
37	23.00205841
38	22.84770955
39	22.69774985
40	22.56645125
41	22.4334835
42	22.33112708
43	22.2347387
44	22.15013389
45	22.07974895
46	21.99366618
47	21.9251912
48	21.86511945
49	21.80468856
50	21.76052515
51	21.71338388
52	21.66698079
53	21.63138379
54	21.5980477
55	21.55976749
56	21.52791493
57	21.50145782
58	21.4656621
59	21.43594762
60	21.40834527
61	21.38305627
62	21.36812446
63	21.34984094
64	21.33144368
65	21.30784463
66	21.29353268
67	21.27627526
68	21.24721208
69	21.22655888
70	21.21558752
71	21.20366186
72	21.19227791
73	21.18075357
74	21.17310888
75	21.16649188
76	21.16033573
77	21.154639
78	21.13740965
79	21.13098139
80	21.12588353
81	21.12110437
82	21.11664903
83	21.10918424
84	21.09205263
85	21.06951023
86	21.06246399
87	21.0587041
88	21.0477869
89	21.04246557
90	21.0393364
91	21.03000454
92	20.99569886
93	20.98908068
94	20.98681695
95	20.97986158
96	20.97676238
97	20.9639366
98	20.94968741
99	20.94106307
100	20.93255881
101	20.92851514
102	20.92264652
103	20.91263034
104	20.90751433
105	20.90515617
106	20.89819771
107	20.88782062
108	20.8798652
109	20.87232498
110	20.86976835
111	20.86209257
112	20.86032088
113	20.8398424
114	20.83085488
115	20.82146322
116	20.80573147
117	20.79807155
118	20.79412949
119	20.78787797
120	20.77821586
121	20.76500008
122	20.75374783
123	20.74188205
124	20.73167109
125	20.72803354
126	20.72480874
127	20.71932027
128	20.7071124
129	20.70493631
130	20.70264324
131	20.69456168
132	20.68674713
133	20.6720807
134	20.65528491
135	20.65319824
136	20.63667011
137	20.63033179
138	20.62484863
139	20.60663814
140	20.59487631
141	20.58449106
142	20.5814089
143	20.57767034
144	20.56420177
145	20.5625807
146	20.54623748
147	20.54052927
148	20.53830844
149	20.53355815
150	20.524657
151	20.51249552
152	20.50149274
153	20.49374002
154	20.48071429
155	20.47770355
156	20.4649865
157	20.46329835
158	20.45494752
159	20.43945602
160	20.43037852
161	20.41776495
162	20.40464243
163	20.39951454
164	20.39328406
165	20.38874856
166	20.38260659
167	20.36333602
168	20.34350776
169	20.33756641
170	20.33492527
171	20.31324388
172	20.29785558
173	20.28402571
174	20.27595693
175	20.26515297
176	20.25395808
177	20.24139613
178	20.2325903
179	20.22546839
180	20.20568193
181	20.18639942
182	20.18389095
183	20.16749364
184	20.16150669
185	20.15535654
186	20.1381077
187	20.13505639
188	20.13044812
189	20.11688732
190	20.112706
191	20.09417201
192	20.08916022
193	20.0754323
194	20.07047117
195	20.05663163
196	20.03938876
197	20.0339483
198	20.02700895
199	20.02320417
200	20.00833679
201	20.00448118
202	19.99327331
203	19.9780102
204	19.96656321
205	19.96215678
206	19.94699741
207	19.94132417
208	19.93500741
209	19.92855906
210	19.91776657
211	19.90428948
212	19.89177955
213	19.88412155
214	19.86998962
215	19.85588551
216	19.85098948
217	19.84734276
218	19.84206376
219	19.83707252
220	19.83235296
221	19.82809949
222	19.82352948
223	19.80856795
224	19.80114419
225	19.79548009
226	19.78583434
227	19.77675287
228	19.76473291
229	19.75958613
230	19.74911059
231	19.73861804
232	19.72373466
233	19.7199022
234	19.71088976
235	19.69840966
236	19.68868831
237	19.68315148
238	19.68138593
239	19.67343185
240	19.66835055
241	19.65899726
242	19.64779133
243	19.64406675
244	19.63636412
245	19.62527891
246	19.61976441
247	19.61296025
248	19.60307249
249	19.58647113
250	19.58264171
251	19.57197817
252	19.56637136
253	19.56418853
254	19.55044819
255	19.54307708
256	19.54175288
257	19.52455887
258	19.51643783
259	19.51177764
260	19.5100157
261	19.50192127
262	19.48970632
