iter	Passed	Remaining
403	3825	5644
404	3834	5633
405	3840	5619
406	3846	5604
407	3855	5594
408	3861	5580
409	3867	5565
410	3876	5555
411	3882	5541
412	3889	5528
413	3897	5516
414	3904	5503
415	3914	5494
416	3919	5479
417	3925	5465
418	3934	5456
419	3940	5441
420	3948	5430
421	3955	5417
422	3961	5403
423	3975	5400
424	3980	5385
425	3987	5373
426	3997	5364
427	4008	5357
428	4017	5347
429	4023	5333
430	4033	5324
431	4040	5312
432	4047	5300
433	4054	5287
434	4061	5275
435	4070	5265
436	4076	5251
437	4082	5238
438	4090	5226
439	4098	5216
440	4106	5205
441	4113	5192
442	4119	5179
443	4128	5170
444	4134	5156
445	4141	5144
446	4149	5133
447	4155	5119
448	4162	5108
449	4169	5096
450	4175	5082
451	4183	5071
452	4189	5059
453	4196	5046
454	4203	5035
455	4212	5025
456	4220	5014
457	4227	5003
458	4233	4989
459	4240	4978
460	4247	4966
461	4254	4953
462	4262	4943
463	4268	4931
464	4275	4918
465	4285	4910
466	4290	4897
467	4298	4885
468	4305	4874
469	4313	4863
470	4323	4855
471	4328	4842
472	4335	4830
473	4344	4820
474	4350	4808
475	4358	4797
476	4365	4785
477	4370	4773
478	4385	4770
479	4404	4771
480	4415	4764
481	4487	4822
482	4549	4870
483	4592	4895
484	4617	4902
485	4641	4909
486	4652	4900
487	4687	4918
488	4695	4906
489	4702	4894
490	4709	4881
491	4716	4869
492	4724	4858
493	4731	4846
494	4740	4836
495	4746	4823
496	4753	4810
497	4760	4798
498	4766	4785
499	4774	4774
500	4780	4761
501	4786	4748
502	4795	4738
503	4801	4725
504	4808	4712
505	4816	4702
506	4825	4691
507	4832	4680
508	4839	4668
509	4845	4655
510	4854	4645
511	4860	4632
512	4866	4620
513	4876	4610
514	4881	4597
515	4889	4586
516	4896	4574
517	4902	4562
518	4910	4551
519	4917	4539
520	4923	4526
521	4932	4516
522	4941	4507
523	4949	4496
524	4956	4484
525	4963	4472
526	4973	4463
527	4979	4450
528	4986	4439
529	4993	4428
530	4999	4415
531	5010	4407
532	5016	4395
533	5022	4383
534	5030	4372
535	5039	4362
536	5047	4351
537	5054	4340
538	5060	4327
539	5069	4318
540	5074	4305
541	5080	4293
542	5089	4283
543	5096	4272
544	5104	4261
545	5111	4249
546	5116	4237
547	5123	4226
548	5131	4215
549	5138	4204
550	5148	4195
551	5154	4183
552	5161	4171
553	5168	4161
554	5174	4148
555	5181	4137
556	5188	4126
557	5194	4114
558	5203	4104
559	5209	4093
560	5215	4081
561	5225	4072
562	5230	4060
563	5237	4048
564	5245	4038
565	5253	4028
566	5261	4018
567	5268	4006
568	5275	3995
569	5285	3987
570	5291	3975
571	5298	3964
572	5305	3953
573	5311	3941
574	5319	3931
575	5325	3920
576	5331	3908
577	5339	3898
578	5348	3889
579	5355	3878
580	5362	3867
581	5368	3855
582	5376	3845
583	5382	3834
584	5388	3822
585	5395	3812
586	5402	3801
587	5408	3789
588	5416	3779
589	5422	3768
590	5428	3756
591	5438	3748
592	5444	3736
593	5450	3725
594	5458	3715
595	5509	3734
596	5563	3755
597	5570	3744
598	5579	3735
599	5585	3723
600	5599	3717
601	5622	3716
602	5632	3708
603	5641	3698
604	5652	3690
605	5673	3688
606	5684	3680
607	5699	3674
608	5706	3663
609	5719	3656
610	5728	3646
611	5740	3639
612	5750	3630
613	5764	3624
614	5777	3616
615	5785	3606
616	5798	3599
617	5805	3588
618	5816	3580
619	5822	3568
620	5830	3558
621	5837	3547
622	5843	3535
623	5851	3525
624	5858	3515
625	5865	3504
626	5874	3494
627	5880	3483
628	5887	3472
629	5894	3461
630	5900	3450
631	5909	3441
632	5916	3430
633	5922	3418
634	5931	3409
635	5937	3398
636	5944	3387
637	5952	3377
638	5957	3365
639	5965	3355
640	5973	3345
641	5980	3334
642	5990	3325
643	5996	3314
644	6002	3303
645	6012	3294
646	6018	3283
647	6028	3274
648	6033	3263
649	6040	3252
650	6049	3242
651	6054	3231
652	6062	3221
653	6070	3211
654	6077	3201
655	6087	3192
656	6093	3181
657	6100	3170
658	6107	3160
659	6113	3149
660	6121	3139
661	6128	3129
662	6134	3118
663	6144	3109
664	6150	3098
665	6155	3087
666	6165	3078
667	6170	3067
668	6178	3056
669	6185	3046
670	6193	3036
671	6203	3027
672	6208	3016
673	6215	3006
674	6224	2996
675	6230	2986
676	6238	2976
677	6246	2966
678	6251	2955
679	6262	2946
680	6268	2936
681	6275	2925
682	6282	2916
683	6289	2905
684	6298	2896
685	6304	2885
686	6310	2875
687	6319	2865
688	6325	2855
689	6332	2844
690	6339	2835
691	6345	2824
692	6352	2814
693	6360	2804
694	6366	2793
695	6374	2784
696	6382	2774
697	6390	2765
698	6398	2755
699	6403	2744
700	6411	2734
701	6418	2724
702	6423	2713
703	6431	2704
704	6438	2694
705	6444	2683
706	6451	2673
707	6458	2663
708	6464	2653
709	6474	2644
710	6481	2634
711	6488	2624
712	6496	2614
713	6503	2604
714	6512	2595
715	6518	2585
716	6523	2575
717	6533	2565
718	6538	2555
719	6546	2545
720	6553	2536
721	6559	2525
722	6567	2516
723	6574	2506
724	6580	2496
725	6588	2486
726	6595	2476
727	6602	2466
728	6611	2457
729	6617	2447
730	6624	2437
731	6632	2428
732	6638	2417
733	6645	2408
734	6652	2398
735	6658	2388
736	6667	2379
737	6673	2369
738	6680	2359
739	6687	2349
740	6695	2340
741	6703	2330
742	6710	2321
743	6716	2311
744	6724	2301
745	6731	2291
746	6737	2281
747	6746	2272
748	6752	2262
749	6758	2252
750	6768	2244
751	6775	2234
752	6789	2227
753	6802	2219
754	6818	2212
755	6831	2204
756	6842	2196
757	6850	2187
758	6863	2179
759	6870	2169
760	6885	2162
761	6893	2153
762	6907	2145
763	6922	2138
764	6929	2128
765	6942	2120
766	6949	2110
767	6958	2102
768	6965	2092
769	6971	2082
770	6980	2073
771	6986	2063
772	6992	2053
773	7001	2044
774	7007	2034
775	7014	2024
776	7022	2015
777	7029	2005
778	7038	1996
779	7044	1986
780	7051	1977
781	7058	1967
782	7064	1957
783	7072	1948
784	7079	1938
785	7085	1929
786	7093	1919
787	7100	1910
788	7106	1900
789	7114	1891
790	7123	1882
791	7131	1872
792	7137	1863
793	7143	1853
794	7151	1843
795	7157	1834
796	7163	1824
797	7172	1815
798	7178	1805
799	7184	1796
800	7193	1787
801	7199	1777
802	7206	1767
803	7214	1758
804	7219	1748
805	7227	1739
806	7235	1730
807	7243	1721
808	7252	1712
809	7257	1702
810	7265	1693
811	7272	1683
812	7278	1674
813	7286	1665
814	7293	1655
815	7299	1645
816	7306	1636
817	7314	1627
818	7319	1617
819	7328	1608
820	7337	1599
821	7344	1590
822	7351	1581
823	7357	1571
824	7367	1562
825	7373	1553
826	7378	1543
827	7388	1534
828	7394	1525
829	7401	1516
830	7409	1506
831	7414	1497
832	7423	1488
833	7429	1478
834	7436	1469
835	7444	1460
836	7454	1451
837	7461	1442
838	7468	1433
839	7474	1423
840	7484	1415
841	7490	1405
842	7496	1396
843	7505	1387
844	7511	1377
845	7519	1368
846	7526	1359
847	7531	1350
848	7539	1340
849	7546	1331
850	7554	1322
851	7563	1313
852	7569	1304
853	7575	1295
854	7584	1286
855	7589	1276
856	7597	1267
857	7604	1258
858	7610	1249
859	7622	1240
860	7628	1231
861	7636	1222
862	7643	1213
863	7650	1204
864	7659	1195
865	7665	1186
866	7671	1176
867	7680	1167
868	7685	1158
869	7694	1149
870	7701	1140
871	7706	1131
872	7714	1122
873	7721	1113
874	7727	1103
875	7735	1094
876	7743	1086
877	7749	1076
878	7758	1068
879	7764	1058
880	7772	1049
881	7779	1040
882	7785	1031
883	7793	1022
884	7800	1013
885	7806	1004
886	7815	995
887	7821	986
888	7827	977
889	7837	968
890	7843	959
891	7853	950
892	7862	942
893	7870	933
894	7877	924
895	7883	915
896	7893	906
897	7899	897
898	7904	888
899	7915	879
900	7922	870
901	7935	862
902	7947	853
903	7968	846
904	7978	837
905	7991	829
906	7999	820
907	8012	811
908	8019	802
909	8032	794
910	8040	785
911	8052	776
912	8061	768
913	8073	759
914	8085	751
915	8093	742
916	8103	733
917	8110	724
918	8115	715
919	8123	706
920	8130	697
921	8136	688
922	8144	679
923	8151	670
924	8157	661
925	8165	652
926	8175	643
927	8182	634
928	8189	625
929	8195	616
930	8205	608
931	8211	599
932	8216	590
933	8226	581
934	8231	572
935	8239	563
936	8247	554
937	8252	545
938	8261	536
939	8269	527
940	8275	518
941	8285	510
942	8290	501
943	8298	492
944	8305	483
945	8311	474
946	8319	465
